Lemma,Gloss,Indonesian lemmas (or gap),Indonesian Gloss
deaf,lacking or deprive of the sense of hearing wholly or in part,tuli,tidak dapat mendengar (krn rusak pendengarannya)
long,primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified,panjang,berjarak jauh (dari ujung ke ujung)
short,(primarily spatial sense) having little length or lacking in length,pendek,dekat jaraknya dari ujung ke ujung
full,containing as much or as many as is possible or normal,penuh,sudah berisi seluruhnya (tidak ada yang terluang lagi) 
empty,holding or containing nothing,kosong,tidak berisi
"blind, unsighted",unable to see,buta,tidak dapat melihat krn rusak matanya
precious,of high worth or cost,bernilai,mempunyai nilai tinggi
"blue, bluish, blueish",of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky,biru,warna spt warna langit yg terang dan tidak berawan
pointed,having a point,tajam,memiliki bagian tajam
"beloved, darling, dear",dearly loved,tercinta,"sangat dicintai (dikasihi, disayangi)"
"green, greenish, light-green, dark-green",of the color between blue and yellow in the color spectrum; similar to the color of fresh grass,hijau,warna spt warna daun
"red, reddish, ruddy, blood-red, carmine, cerise, cherry, cherry-red, crimson, ruby, ruby-red, scarlet",of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies,merah,warna dasar yg serupa dng warna darah
powerful,having great power or force or potency or effect,kuat,"banyak tenaganya (gayanya, dayanya)"
"two, 2, ii",being one more than one,dua,bilangan satu dng satu
"stingy, ungenerous",unwilling to spend,pelit,
"one, 1, i, ane",used of a single unit or thing; not two or more,satu,bilangan yg dilambangkan dng angka 1 (Arab) atau I (Romawi)
"four, 4, iv",being one more than three,empat,bilangan sesudah tiga
"three, 3, iii",being one more than two,tiga,bilangan yg dilambangkan dng angka 3 (Arab) atau III (Romawi)
"six, 6, vi, half dozen, half-dozen",denoting a quantity consisting of six items or units,enam,bilangan antara lima dan tujuh
"five, 5, v",being one more than four,lima,bilangan sesudah empat
"eight, 8, viii",being one more than seven,delapan,"angka atau bilangan antara tujuh dan sembilan (8, VIII)"
"seven, 7, vii",being one more than six,tujuh,bilangan yg dilambangkan dng angka 7 (Arab) atau VII (Romawi)
"ten, 10, x",being one more than nine,sepuluh,
"nine, 9, ix",denoting a quantity consisting of one more than eight and one less than ten,sembilan,bilangan yg dilambangkan dng angka 9 (Arab) atau IX (Romawi)
"twelve, 12, xii, dozen",denoting a quantity consisting of 12 items or units,dua belas,bilangan setelah sebelas sebelum tiga belas
"eleven, 11, xi",being one more than ten,sebelas,bilangan setelah sepuluh sebelum dua belas
"twenty, 20, xx",denoting a quantity consisting of 20 items or units,dua puluh,bilangan setelah sembilan belas sebelum dua puluh satu
"yellow, yellowish, xanthous",of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk,kuning,warna spt warna kunyit
warm,having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat,hangat,"panas (krn direbus, dibakar, dsb)"
"thirty, 30, xxx",being ten more than twenty,tiga puluh,bilangan setelah dua puluh sembilan sebelum tiga puluh satu
cool,neither warm nor very cold; giving relief from heat,sejuk,dingin segar atau nyaman
"forty, 40, xl, twoscore",being ten more than thirty,empat puluh,bilangan setelah tiga puluh sembilan sebelum empat puluh satu
"grey, gray, greyish, grayish",of an achromatic color of any lightness intermediate between the extremes of white and black,abu-abu,"warna kelabu; warna spt abu kayu terbakar, terjadi dng mencampur pigmen hitam dan putih sama banyaknya"
"fifty, 50, l",being ten more than forty,lima puluh,bilangan setelah empat puluh sembilan sebelum lima puluh satu
"sixty, 60, lx, threescore",being ten more than fifty,enam puluh,bilangan setelah lima puluh sembilan sebelum enam puluh satu
good,having desirable or positive qualities especially those suitable for a thing specified,bagus,elok; baik sekali
"seventy, 70, lxx",being ten more than sixty,tujuh puluh,bilangan setelah enam puluh sembilan sebelum tujuh puluh satu
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light,hitam,warna yg paling gelap spt warna arang
white,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light,putih,
bad,having undesirable or negative qualities,buruk,rusak atau busuk
"eighty, 80, lxxx, fourscore",being ten more than seventy,delapan puluh,bilangan setelah tujuh puluh sembilan sebelum delapan puluh satu
"ninety, 90, xc",being ten more than eighty,sembilan puluh,bilangan setelah delapan puluh sembilan sebelum sembilan puluh satu
"hundred, one hundred, 100, c",being ten more than ninety,seratus,bilangan setelah sembilan puluh sembilan sebelum seratus satu
"ill, sick",affected by an impairment of normal physical or mental function,sakit,"berasa tidak nyaman di tubuh atau bagian tubuh krn menderita sesuatu (demam, sakit perut, dsb)"
evil,morally bad or wrong,jahat,
"ripe, mature",fully developed or matured and ready to be eaten or used,matang,"sudah tua dan sampai waktunya untuk dipetik, dimakan, dsb"
"thousand, one thousand, 1000, m, k","denoting a quantity consisting of 1,000 items or units",seribu,satuan bilangan (jumlah) yg merupakan hasil seratus kali sepuluh
"second, 2nd, 2d",coming next after the first in position in space or time or degree or magnitude,kedua,yg nomor dua
wet,covered or soaked with a liquid such as water,basah,berair; mengandung air
"third, 3rd, tertiary",coming next after the second and just before the fourth in position,ketiga,yg nomor tiga
"colorful, colourful",having striking color,warna-warni,bermacam-macam (warna)
"damp, dampish, moist",slightly wet,lembap,tidak kering benar (tt tembakau dsb); mengandung air (tt hawa dsb)
dry,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet,kering,tidak basah; tidak berair; tidak lembap; tidak ada airnya lagi
dark,(used of color) having a dark hue,gelap,kelam; tidak ada cahaya; tidak terang
hard,resisting weight or pressure,keras,"padat kuat dan tidak mudah berubah bentuknya, atau tidak mudah pecah"
"wide, broad",having great (or a certain) extent from one side to the other,luas,jauh jarak antara sisi-sisinya
"firm, solid",not soft or yielding to pressure,padat,
"gentle, soft",soft and mild; not harsh or stern or severe,halus,tidak kasar; lembut licin
narrow,not wide,sempit,kurang dr ukuran luas (besar) yg diperlukan
clean,free from dirt or impurities; or having clean habits,bersih,bebas dr kotoran
soft,yielding readily to pressure or weight,lunak,lembut; empuk
"dirty, soiled, unclean",soiled or likely to soil with dirt or grime,kotor,tidak bersih; noda
"adept, expert, good, practiced, proficient, skillful, skilful",having or showing knowledge and skill and aptitude,ahli,"orang yg mahir, paham sekali dl suatu ilmu (kepandaian)"
blunt,used of a knife or other blade; not sharp,tumpul,tidak runcing; tebal pd bagian yg tajam (tidak tajam)
sharp,having or made by a thin edge or sharp point; suitable for cutting or piercing,tajam,"bermata tipis, halus, dan mudah mengiris, melukai, dsb"
