Arabic Lemma,Arabic Definition,English Lemma or Gap,English Definition
شيش برك أو ششبرك أو آذان شايب,طبق مشهور في بلاد الشام وشمال المملكة العربية السعودية والحجاز وفي آسيا الوسطى وجنوب القوقاز والشرق الأوسط. يعود أصله إلى أوزبكستان. يتكون الطبق من عجينة تملأ بداخلها لحم غنم مفروم وتلف على شكل أذن الإنسان.,GAP,
نمورة أو هريسة أو هريسة سميد,"هي حلويات شرقية-شامية ومصرية. تحضر من السميد بشكل أساسي في معظم الأعياد والمناسبات، وتختلف طرق تحضير البسبوسة وتزيينها فتندرج من تحتها البسبوسة بالقشطة والبسبوسة بالزبادي والبسبوسة بجوز الهند والبسبوسة بالشوكلاتة وغيرها",GAP,
جلاش,"من ألوان الطعام، وهو رقاق تصنع منه بعض الحلوى أو المحشوات.",GAP,
بسبوسة,حلوى تتخذ من دقيق القمح والسكر والسمن وغير ذلك.,GAP,
هريسة,طعام يطبخ من القمح المدقوق واللحم,GAP,
قريزه أو نمورة,"حلوى تقليدية تشتهر في فلسطين، تصنع من السميد والسكر وتغطى بجوز الهند المبشور الجاف",GAP,
حلاوة جبن,"حلوى تقليدية تشتهر في سوريا، تصنع من الجبن، والسميد، السكر، وماء الزهر، وتأخذ في النهاية شكل شرائح طرية وحلوة الطعم، وتقدم محشية بالقشطة أو سادة بدون حشوة وتزين بالبوظة والمكسرات. يعود منشأها إلى مدينة حماة في سوريا، وانتقلت منها إلى عموم سوريا وفيما بعد اشتهرت بها حمص ولكن تعتبر حماة هي الأولى في صناعتها",GAP,
كنافة نابلسية,"هي النوع الأكثر شيوعا من الكنافة، وتتميز بلونها الذهبي وطعمها الحلو.",GAP,
كنافة أو قطايف (في جزائر وتونس),"حلوى تتخذ من عجين القمح، تجعل على شكل خيوط دقيقة ويتم إنضاجها بالسمن في الفرن ونحوه، ثم يضاف إليها السكر المعقد",GAP,
كنافة مبرومة," نوع من الكنافة سهلة التحضير، ومناسبة جدا لتقديمها في المناسبات السعيدة والتجمعات الكبيرة، إذ لا تحتاج لمجهود في تقسيمها أو تحليتها بالقطر، وتقدم مع القهوة العربية.",GAP,
كنافة محشوة بالمكسرات,"هي نوع من الكنافة تحشى بالمكسرات، مثل الفستق الحلبي أو اللوز أو الجوز.",GAP,
كنافة بالآيس كريم,هي نوع من الكنافة تقدم مع الآيس كريم.,GAP,
كنافة بالكريمة,هي نوع من الكنافة تحشى بالكريمة.,GAP,
كلاج أو جلاش كما ينطقها مصريون,"أكلة تشتهر بها فلسطين ومنطقة بلاد الشام ومصر عموما، تتكون من رقائق عجين توضع فيها حشوة، مثل اللوز أو الجبن، ومن ثم تسوى في الفرن ويضاف لها ماء السكر.",GAP,
زلابيا أو مشبك,"نوع من أنواع الحلويات الشعبية مشهورة في عدد من البلدان العربية خاصة في مصر والشام والمغرب العربي والعراق. يكثر الإقبال عليها في شهر رمضان، توزع كصدقات وكثيرا ما تشاهد صواني الزلابيا في الجوامع والمساجد لتوزع كنذر أو صدقة.",GAP,
بسيسة أو روينة, أكلة تصنع من الطحين والسمسم والسكر. وهي جزء من المطبخ التونسي والمطبخ الليبي والمطبخ الجزائري  والمطبخ الفلسطيني وغيرها .,GAP,
قطايف باللوز,"نوع من الحلويات الشرقية التي تتكون من عجينة قطايف محشوة باللوز. عادة ما يكون اللوز المقلي أو المحمص هو المستخدم، ولكن يمكن استخدام اللوز الخام أيضا.",GAP,
قطايف بالجبنة,"نوع من الحلويات الشرقية التي تتكون من عجينة قطايف محشوة بالجبن. عادة ما تكون الجبنة المستخدمة هي الجبنة البيضاء الطازجة، ولكن يمكن استخدام أنواع أخرى من الجبن، مثل الجبنة الموزاريلا أو الجبنة الشيدر.",GAP,
قطايف بالجوز,"نوع من الحلويات الشرقية التي تتكون من عجينة قطايف محشوة بالجوز. عادة ما يكون الجوز المقلي أو المحمص هو المستخدم، ولكن يمكن استخدام الجوز الخام أيضا.",GAP,
قطايف بالشوكولاتة, وهي قطايف محشوة بالشوكولاتة الساخنة أو الشوكولاتة السائلة.,GAP,
قطايف بالقشطة,"نوع من الحلويات الشرقية التي تتكون من عجينة قطايف محشوة بالقشطة. عادة ما تكون القشطة المستخدمة هي القشطة الطازجة، ولكن يمكن استخدام القشطة المعلبة أيضا.",GAP,
قطايف بالمكسرات,"نوع من الحلويات الشرقية التي تتكون من عجينة قطايف محشوة بالمكسرات. يمكن استخدام أي نوع من المكسرات، مثل اللوز أو الجوز أو الفستق الحلبي أو البندق أو الكاجو.",GAP,
قطايف بالكريمة,هي قطايف محشوة بالكريمة المخفوقة.,GAP,
قطايف بالآيس كريم,هي قطايف محشوة بالآيس كريم.,GAP,
قطايف بالفواكه,هي قطايف محشوة بالفواكه الطازجة أو المجففة.,GAP,
كعكة شوكولاتة,"هي كعكة مصنوعة من الشوكولاتة، ويمكن أن تكون إسفنجية أو غنية أو كثيفة.",chocolate_cake, cake containing chocolate 
قطايف باللحم مفروم,هي قطايف محشوة باللحم المفروم.,GAP,
قطايف بالخضروات,هي قطايف محشوة بالخضروات الطازجة أو المجمدة.,GAP,
كعكة كريمة,"هي كعكة محشوة بالكريمة، ويمكن أن تكون إسفنجية أو غنية أو كثيفة.",Twinkie, a small sponge cake with a synthetic cream filling 
كعكة فواكه,"هي كعكة مصنوعة من الفواكه، مثل الفراولة أو التوت أو التفاح.",fruitcake, a rich cake containing dried fruit and nuts and citrus peel and so on 
كعكة سينامون رول,هي كعكة محشوة بالقرفة والسكر.,"cinnamon_roll, cinnamon_bun, cinnamon_snail", rolled dough spread with cinnamon and sugar (and raisins) then sliced before baking 
كعكة مقلية,هي كعكة تقلى في الزيت.,friedcake, small cake in the form of a ring or twist or ball or strip fried in deep fat 
كعكة شيفون,"وهي كعكة خفيفة وكثيفة، تتكون من البيض والدقيق والسكر والزيت النباتي.",chiffon_cake, very light cake 
كعكة مخبوزة,"هي الكعكة الأكثر شيوعا، وتخبز في الفرن.",GAP,
كعكة مسلوقة,هي كعكة تسلق في الماء.,GAP,
مشروب زعتر بلاط, هو مشروب مصنوع من زعتر بلاط. زعتر بلاط هو نوع من الزعتر له طعم قوي. غالبا ما يستخدم مشروب زعتر بلاط كمشروب ساخن أو بارد.,GAP,
قهوة عربية, هي نوع من القهوة المصنوعة من القهوة المطحونة جيدا ويتم تحضيرها باستخدام الماء الساخن. تتميز القهوة العربية بنكهة قوية وغنية. غالبا ما يتم تقديم القهوة العربية مع التمر أو الحلويات. ,GAP,
إسبريسو,هو مشروب قهوة مصنوع من القهوة المطحونة بدقة ويتم ضغطها بقوة من خلال الماء الساخن. ينتج عن ذلك مشروب كثيف ذو قوام كريمي وطعم قوي. ,espresso, strong black coffee brewed by forcing hot water under pressure through finely ground coffee beans 
قهوة تركية, هي نوع من القهوة المصنوعة من القهوة المطحونة جيدا ويتم تحضيرها باستخدام الماء الساخن. تتميز القهوة التركية بنكهة قوية وغنية. غالبا ما يتم تقديم القهوة التركية مع التمر أو الحلويات. ,Turkish_coffee, a drink made from pulverized coffee beans; usually sweetened 
قهوة ساخنة, هي نوع من مشروب القهوة يتم تحضيرها باستخدام القهوة الساخنة. يمكن تحضير القهوة الساخنة باستخدام القهوة المطحونة أو المعبأة في أكياس. غالبا ما يتم إضافة الحليب والسكر إلى القهوة الساخنة.,GAP,
