English lemmas,English Definition,Arabic  lemmas or Gap,Arabic Definition
"beverage, drink, drinkable, potable", any liquid suitable for drinking ,مشروب,"سائل يُشرب، مثل الماء أو العصير."
aperitif, alcoholic beverage taken before a meal as an appetizer ,GAP,
"brew, brewage", drink made by steeping and boiling and fermenting rather than distilling ,GAP,
"alcohol, alcoholic_drink, alcoholic_beverage, intoxicant, inebriant", a liquor or brew containing alcohol as the active agent ,كحول,"سائل عديم اللون له رائحة خاصة، ينتج من تخمر السكر والنشاء وغيرهما، يدخل في صناعة المشروبات الروحية، وفي تحضير الأدوية"
beer, a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops ,بيرة,"مشروب ضعيف الكحول، يصنع من نقيع الشعير المختمر، ويعطر بأزهار حشيشة الدينار"
ale, a general name for beer made with a top fermenting yeast; in some of the United States an ale is (by law) a brew of more than 4% alcohol by volume ,GAP,
bitter, English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft) ,GAP,
burton, a strong dark English ale ,GAP,
"porter, porters_beer", a very dark sweet ale brewed from roasted unmalted barley ,GAP,
"weissbier, white_beer, wheat_beer", a general name for beers made from wheat by top fermentation; usually very pale and cloudy and effervescent ,GAP,
guinness, a kind of bitter stout ,GAP,
pale_ale, an amber colored ale brewed with pale malts; similar to bitter but drier and lighter ,GAP,
stout, a strong very dark heavy-bodied ale made from pale malt and roasted unmalted barley and (often) caramel malt with hops ,GAP,
weizenbier, a general name in southern Germany for wheat beers ,GAP,
"kabob, kebab, shish_kebab", cubes of meat marinated and cooked on a skewer usually with vegetables ,كباب,هو نوع من المشاوي المصنوعة من اللحم المفروم. يتميز الكباب بطعمه اللذيذ ورائحته الشهية.
pasta, shaped and dried dough made from flour and water and sometimes egg ,معكرونة,"مكرونة، نوع من الطعام يصنع من دقيق القمح ويشكل بأشكال مختلفة ويجفف، ثم يطهى بكيفيات مختلفة"
lobster_thermidor, diced lobster mixed with Mornay sauce placed back in the shell and sprinkled with grated cheese and browned ,GAP,
kedgeree, a dish of rice and hard-boiled eggs and cooked flaked fish ,GAP,
cannelloni, tubular pasta filled with meat or cheese ,GAP,
macaroni_and_cheese, macaroni prepared in a cheese sauce ,GAP,
"lasagna, lasagne", very wide flat strips of pasta ,لازانيا,"طبق إيطالي تقليدي يتكون من طبقات من رقائق المعكرونة تسمى اللازانيا، والتي يتم حشوها بصلصة الطماطم واللحم المفروم أو الخضار والجبن."
"pizza, pizza_pie", Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese ,بتزا أو بيتزا,"هي فطيرة مخبوزة مغطاة بمسحوق الطماطم المتبل والجبن وبعض الإضافات الأخرى، وقد يدخل في صنعها أنواع من اللحوم"
anchovy_pizza, tomato and cheese pizza with anchovies ,GAP,
spaghetti,spaghetti served with a tomato sauce ,السباغيتي,"نوع من المعكرونة الطويلة والرفيعة، مصنوعة من عجينة القمح الصلب. وتتميز بأنها ناعمة ولذيذة وسهلة التسوية."
pepperoni_pizza, tomato and cheese pizza with pepperoni ,بيتزا بالفلفل الحار,هي بيتزا تحتوي على الفلفل الحار.
sausage_pizza, tomato and cheese pizza with sausage ,بيتزا نقانق,"هي نوع من البيتزا التي تُصنع من عجينة البيتزا التقليدية، وتُغطى بصلصة الطماطم، وتُزين بقطع النقانق. "
salad, food mixtures either arranged on a plate or tossed and served with a moist dressing; usually consisting of or including greens ,سلطة,"مزيج من الخضروات أو الفواكه أو اللحوم أو الأسماك أو المأكولات البحرية أو الأعشاب أو التوابل أو البيض أو الجبن أو الحبوب أو المعكرونة أو النودلز أو أي مواد أخرى، تخلط معًا بزيت أو خل أو ماء أو صلصة أو أي سائل آخر."
chicken_salad, salad composed primarily of chopped chicken meat ,GAP,
weizenbock, a German wheat beer of bock strength ,GAP,
"lager, lager_beer", a general term for beer made with bottom fermenting yeast (usually by decoction mashing); originally it was brewed in March or April and matured until September ,جعة,نبيذ الشعير والقمح.
"draft_beer, draught_beer", beer drawn from a keg ,GAP,
"bock, bock_beer", a very strong lager traditionally brewed in the fall and aged through the winter for consumption in the spring ,GAP,
light_beer, lager with reduced alcohol content ,GAP,
"malt, malt_liquor", a cereal grain (usually barley) that is kiln-dried after having been germinated by soaking in water; used especially in brewing and distilling ,GAP,
"munich_beer, munchener", a dark lager produced in Munich since the 10th century; has a distinctive taste of malt ,GAP,
"pilsner, pilsener", a pale lager with strong flavor of hops; first brewed in the Bohemian town of Pilsen ,GAP,
"oktoberfest, octoberfest", a strong lager made originally in Germany for the Oktoberfest celebration; sweet and copper-colored ,GAP,
cassiri, a drink resembling beer; made from fermented cassava juice ,GAP,
suds, a dysphemism for beer (especially for lager that effervesces) ,GAP,
mead, made of fermented honey and water ,GAP,
kvass, fermented beverage resembling beer but made from rye or barley ,GAP,
metheglin, spiced or medicated mead ,GAP,
spruce_beer, a brew made by fermenting molasses and other sugars with the sap of spruce trees (sometimes with malt) ,GAP,
hard_cider, alcoholic drink from fermented cider; `cider' and `cyder' are European (especially British) usages for the fermented beverage ,GAP,
"hooch, hootch", an illicitly distilled (and usually inferior) alcoholic liquor ,GAP,
pruno, a liquor concocted from a mixture of ingredients (such as prunes and raisins and milk and sugar) that can be fermented to produce alcohol; made by prison inmates ,GAP,
"home_brew, homebrew", an alcoholic beverage (especially beer) made at home ,GAP,
"koumiss, kumis", an alcoholic beverage made from fermented mare's milk; made originally by nomads of central Asia ,GAP,
"kava, kavakava", an alcoholic drink made from the aromatic roots of the kava shrub ,GAP,
"absinth, absinthe", strong green liqueur flavored with wormwood and anise ,GAP,
amaretto, an Italian almond liqueur ,GAP,
"liqueur, cordial", strong highly flavored sweet liquor usually drunk after a meal ,GAP,
"anisette, anisette_de_bordeaux", liquorice-flavored usually colorless sweet liqueur made from aniseed ,GAP,
benedictine, a French liqueur originally made by Benedictine monks ,GAP,
chartreuse," aromatic green or yellow liqueur flavored with orange peel and hyssop and peppermint oils; made at monastery near Grenoble, France ",GAP,
coffee_liqueur, coffee-flavored liqueur ,GAP,
kahlua, coffee-flavored liqueur made in Mexico ,GAP,
creme_de_fraise, strawberry-flavored liqueur ,GAP,
creme_de_cacao, sweet liqueur flavored with vanilla and cacao beans ,GAP,
creme_de_menthe, sweet green or white mint-flavored liqueur ,GAP,
drambuie, a sweet Scotch whisky liqueur ,GAP,
galliano, golden Italian liqueur flavored with herbs ,GAP,
kummel, liqueur flavored with caraway seed or cumin ,GAP,
"maraschino, maraschino_liqueur", cherry preserved in true or imitation maraschino liqueur ,GAP,
orange_liqueur, liqueur flavored with orange ,GAP,
"curacao, curacoa", flavored with sour orange peel ,GAP,
grand_marnier, an orange-flavored French liqueur ,GAP,
triple_sec, type of curacao having higher alcoholic content ,GAP,
pastis, similar to absinthe but containing no wormwood ,GAP,
pernod, (registered trademark) a liqueur flavored with anise ,GAP,
pousse-cafe, small drink served after dinner (especially several liqueurs poured carefully so as to remain in separate layers) ,GAP,
"ratafia, ratafee", macaroon flavored with ratafia liqueur ,GAP,
sambuca, an Italian liqueur made with elderberries and flavored with licorice ,GAP,
"liquor, spirits, booze, hard_drink, hard_liquor, john_barleycorn, strong_drink", the liquid in which vegetables or meat have be cooked ,GAP,
"aqua_vitae, ardent_spirits", strong distilled liquor or brandy ,GAP,
"aquavit, akvavit", Scandinavian liquor usually flavored with caraway seeds ,GAP,
"arrack, arak", any of various strong liquors distilled from the fermented sap of toddy palms or from fermented molasses ,عرق أو مشروب كحولي,شراب مسكر يصنع من العنب أو البلح
bitters, alcoholic liquor flavored with bitter herbs and roots ,GAP,
brandy, distilled from wine or fermented fruit juice ,GAP,
applejack, distilled from hard cider ,GAP,
armagnac, dry brandy distilled in the Armagnac district of France ,GAP,
calvados, dry apple brandy made in Normandy ,GAP,
cognac, high quality grape brandy distilled in the Cognac district of France ,GAP,
eau_de_vie, strong coarse brandy ,GAP,
grappa, Italian brandy made from residue of grapes after pressing ,GAP,
marc, made from residue of grapes or apples after pressing ,GAP,
kirsch, from fermented juice of black morello cherries ,GAP,
slivovitz, a colorless plum brandy popular in the Balkans ,GAP,
firewater, any strong spirits (such as strong whisky or rum) ,GAP,
gin, strong liquor flavored with juniper berries ,GAP,
"geneva, holland_gin, hollands", gin made in the Netherlands ,GAP,
bathtub_gin, homemade gin especially that made illegally ,GAP,
lacing, a small amount of liquor added to a food or beverage ,GAP,
sloe_gin, gin flavored with sloes (fruit of the blackthorn) ,GAP,
mescal, a colorless Mexican liquor distilled from fermented juices of certain desert plants of the genus Agavaceae (especially the century plant) ,GAP,
ouzo, a Greek liquor flavored with anise ,GAP,
rum, liquor distilled from fermented molasses ,GAP,
"demerara, demerara_rum", light brown cane sugar; originally from Guyana ,GAP,
grog, rum cut with water ,GAP,
tequila, Mexican liquor made from fermented juices of an agave plant ,GAP,
"blended_whiskey, blended_whisky", mixture of two or more whiskeys or of a whiskey and neutral spirits ,GAP,
vodka, unaged colorless liquor originating in Russia ,GAP,
jamaica_rum, heavy pungent rum from Jamaica ,GAP,
"whiskey, whisky", a liquor made from fermented mash of grain ,GAP,
